postal_code,population,avg_income_per_taxpayer,municipality_name,canton_code,aldi_count,coop_count,denner_count,lidl_count,migros_count,external_competitor_count,migros_group_count,postcode_latitude,postcode_longitude,locality_name,complete_location_data,has_migros,population_per_migros,primary_canton
3714,6867,58036.100215024686,"Frutigen, Reichenbach im Kandertal",BE,0,1,1,0,1,1,2,46.59662300279933,7.654447709528164,Frutigen,True,True,6867.0,BE
3715,3422,57037.561545250355,"Adelboden, Frutigen",BE,0,1,0,0,0,1,0,46.509053030659786,7.557872024055131,Adelboden,True,False,3422.0,BE
3716,702,52480.374730067284,"Frutigen, Kandergrund",BE,0,0,0,0,0,0,0,46.56312950139005,7.663789702428611,Kandergrund,True,False,702.0,BE
3717,97,52447.59259259259,Kandergrund,BE,0,0,0,0,0,0,0,46.525557487489785,7.672892215650374,Blausee-Mitholz,True,False,97.0,BE
3718,1298,59723.42200557103,Kandersteg,BE,0,1,0,0,0,1,0,46.49450218021867,7.674034885626827,Kandersteg,True,False,1298.0,BE
3722,582,59721.97242380262,Reichenbach im Kandertal,BE,0,0,0,0,0,0,0,46.61692714696564,7.701276601623532,Scharnachtal,True,False,582.0,BE
3723,285,59721.97242380262,Reichenbach im Kandertal,BE,0,0,0,0,0,0,0,46.578167412345714,7.733455085839588,Kiental,True,False,285.0,BE
3724,226,56350.228006246754,Frutigen,BE,0,0,0,0,0,0,0,46.56152974511191,7.60731806416396,Ried (Frutigen),True,False,226.0,BE
3725,419,56366.928013911296,"Adelboden, Frutigen",BE,0,0,0,0,0,0,0,46.52277032930371,7.589240029976593,Achseten,True,False,419.0,BE
3752,2732,57993.58627717392,Wimmis,BE,0,1,0,0,0,1,0,46.67744584950731,7.641071072003488,Wimmis,True,False,2732.0,BE
3753,849,57248.27237949503,Diemtigen,BE,0,0,0,0,0,0,0,46.65485680251133,7.58239439905301,Oey,True,False,849.0,BE
3754,500,57204.06940204647,"Diemtigen, Erlenbach im Simmental",BE,0,0,0,0,0,0,0,46.653806465103,7.565323778495821,Diemtigen,True,False,500.0,BE
3755,511,57248.27237949503,Diemtigen,BE,0,0,0,0,0,0,0,46.62154895746451,7.564863517499106,Horboden,True,False,511.0,BE
3756,217,57248.27237949503,Diemtigen,BE,0,0,0,0,0,0,0,46.60836154050331,7.51337876709107,Zwischenflüh,True,False,217.0,BE
3757,238,57248.27237949503,Diemtigen,BE,0,0,0,0,0,0,0,46.57275308374737,7.487189574454608,Schwenden im Diemtigtal,True,False,238.0,BE
3758,560,54648.09723546235,Erlenbach im Simmental,BE,0,0,0,0,0,0,0,46.66540850715044,7.582435385249359,Latterbach,True,False,560.0,BE
3762,1141,54648.09723546235,Erlenbach im Simmental,BE,0,1,0,0,0,1,0,46.66234620319835,7.544627721504649,Erlenbach im Simmental,True,False,1141.0,BE
3763,474,53315.6091954023,Därstetten,BE,0,0,0,0,0,0,0,46.65956347478106,7.499155457896204,Därstetten,True,False,474.0,BE
3764,462,53114.68403089615,"Därstetten, Oberwil im Simmental",BE,0,0,0,0,0,0,0,46.6569282410338,7.476616311846737,Weissenburg,True,False,462.0,BE
3765,779,51385.49234135667,Oberwil im Simmental,BE,0,0,0,0,0,0,0,46.65404677445397,7.43646904221124,Oberwil im Simmental,True,False,779.0,BE
3766,1252,49779.29449161101,"Boltigen, Oberwil im Simmental",BE,0,0,0,0,0,0,0,46.624882417999416,7.397847053212912,Boltigen,True,False,1252.0,BE
3770,2540,59103.3025502683,"Boltigen, Zweisimmen",BE,1,0,0,0,0,1,0,46.57559980833871,7.381791231288124,Zweisimmen,True,False,2540.0,BE
3771,351,59156.01272411799,Zweisimmen,BE,0,1,1,0,1,1,2,46.54259875569184,7.389320866672102,Blankenburg,True,True,351.0,BE
3772,818,54804.280945758,St. Stephan,BE,0,0,0,0,0,0,0,46.510324385602544,7.393637424956873,St. Stephan,True,False,818.0,BE
3773,501,54816.803889578645,"Lenk, St. Stephan",BE,0,0,0,0,0,0,0,46.49185132256097,7.426384972684379,Matten (St. Stephan),True,False,501.0,BE
3775,2349,60022.174204355106,Lenk,BE,0,1,0,0,0,1,0,46.45471367910402,7.445305178537427,Lenk im Simmental,True,False,2349.0,BE
3776,192,59156.01272411799,Zweisimmen,BE,0,0,0,0,0,0,0,46.52850975320709,7.344237898105278,Oeschseite,True,False,192.0,BE
